Neighborhood ID,Neighborhood Median After-Tax Income,Neighborhood Adolescent Count,Facilities per Population,TTC Density(Routes per km^2),Score
2,28400,4455,0,8.349884,0.8922907559
25,29000,3945,0,8.434506,0.8368483958
136,31000,3345,0,3.477694,0.7581550064
1,31600,3345,0,2.34584,0.7524341984
24,28200,2940,0,12.416595,0.7465281223
55,28200,2890,0,12.905867,0.741813072
44,28800,2770,0,16.73391,0.7264091632
32,34400,3055,0,29.817739,0.7112947654
138,31400,2825,0.0007079646018,26.309933,0.7057326669
119,32800,2970,0.0003367003367,5.149649,0.702641283
129,28200,2470,0,5.970086,0.6974418619
120,34000,2985,0.0003350083752,12.748934,0.6969501634
27,30600,2820,0.001418439716,7.422269,0.696490795
126,31000,2680,0,5.307966,0.6934272926
137,30800,2750,0.001454545455,6.318349,0.6869887295
118,31000,2575,0,7.03811,0.6838288002
47,32400,2655,0,9.92717,0.68074753
6,32400,2595,0,10.972556,0.6752871499
116,27800,2090,0.0004784688995,8.471901,0.6594673543
74,31600,1335,0,233.779888,0.6542387444
139,30800,2250,0,7.476423,0.6537423576
130,27200,1980,0.0005050505051,4.792275,0.6519916503
35,31200,2265,0.0004415011038,8.979279,0.6476707625
128,30400,2145,0,6.638144,0.6465242923
111,32000,2315,0.0004319654428,10.034671,0.6461771067
132,29800,2140,0.0004672897196,5.891818,0.645957872
121,28200,1735,0,47.160409,0.6427964091
30,32400,2250,0,13.000618,0.6421718507
22,30600,2150,0.0004651162791,10.060753,0.6417878935
36,30600,2085,0.000479616307,21.370447,0.6401079677
124,30200,1960,0,23.402102,0.6372733747
117,29600,2060,0.0009708737864,7.15684,0.634994416
135,32000,2170,0,6.466063,0.6349596272
61,30800,1555,0,72.010887,0.6131077937
7,37200,2415,0.0004140786749,9.599374,0.6106835036
113,32400,1875,0,14.503042,0.6058741411
42,41600,2720,0,5.056961,0.6048180423
39,47200,3140,0,19.546124,0.6036103585
107,34400,1915,0,32.130854,0.5999773069
54,34800,2020,0,15.689271,0.5997413285
131,37600,2300,0,1.961259,0.5969870546
43,32000,1820,0.0005494505495,8.259335,0.5953896296
122,39600,2385,0,10.993318,0.5918157532
14,40400,2480,0.0004032258065,6.565982,0.5879877121
16,43200,2650,0,11.567992,0.5867766769
123,35200,1960,0,5.754299,0.5860559604
21,29800,1470,0,4.989942,0.5845433996
48,31800,1625,0,7.454699,0.5834357016
125,31600,1460,0,39.946898,0.5829399457
46,32000,1585,0,15.675442,0.5812968249
62,41200,2285,0.0004376367615,34.182672,0.5733451541
72,31400,1245,0,59.727728,0.5720347563
40,41200,2285,0,13.545737,0.5691110895
45,35600,1820,0,6.518703,0.5691042272
31,33600,1660,0.0006024096386,17.004875,0.568880276
51,33600,1615,0.0006191950464,21.594388,0.5662475202
28,29800,1190,0,25.241793,0.5656932685
115,32400,1465,0,13.050699,0.5648535528
33,38000,1895,0,25.017183,0.5635428782
26,34800,1790,0.001117318436,7.857232,0.5617846466
34,34800,1550,0,17.90819,0.5543930887
127,31200,1330,0.0007518796992,7.927935,0.5517883108
37,34800,1425,0,33.1866,0.5486684917
93,37200,1675,0,23.52001,0.5481989075
11,40000,2005,0,4.128016,0.5479274604
50,31800,1170,0,22.771676,0.545215426
5,32400,1320,0.0007575757576,11.971208,0.5420213685
78,30200,1010,0.00198019802,63.285226,0.539759655
110,31000,1165,0.0008583690987,12.579644,0.538147068
85,32800,1260,0.0007936507937,22.736835,0.536880853
134,33200,1275,0,4.580871,0.5355039525
3,30600,1025,0,8.464076,0.5352229341
53,35600,1580,0.001898734177,16.333838,0.529439714
70,42800,2045,0,4.932235,0.5277966597
38,40000,1700,0,17.517372,0.5236539888
23,35200,1220,0,11.392028,0.5155815133
49,34400,1155,0,6.388804,0.5139960673
59,41200,1675,0.0005970149254,38.572886,0.5134404123
108,34400,1175,0.00170212766,36.655703,0.5108667665
52,38800,1510,0,4.762937,0.5098979907
86,40800,1450,0,56.538821,0.5088794522
4,31800,970,0.001030927835,8.569237,0.5083878985
112,31400,770,0,16.869014,0.5067486897
102,40000,1420,0,39.745564,0.5056563952
88,42800,1650,0,39.318129,0.5037135057
29,34000,945,0,17.831784,0.5017309622
13,35600,1175,0.0008510638298,15.19687,0.5002229307
63,52000,2545,0,11.381496,0.4996072141
87,49200,2355,0.0008492569002,19.012633,0.4995397234
9,42400,1700,0,5.330393,0.4974666382
106,40400,1415,0.0007067137809,39.227257,0.493913549
91,32800,965,0.00207253886,16.162398,0.4913393147
8,36400,1065,0,12.15844,0.4901760696
57,35600,820,0,46.249866,0.4877209597
109,34400,935,0.001069518717,14.938153,0.4846009382
133,43200,1625,0,4.110888,0.4825746714
56,54400,2510,0,21.139776,0.4794381517
83,36800,785,0,58.61986,0.4791436331
18,34800,945,0.001058201058,7.099371,0.4788370806
94,39200,1165,0.0008583690987,38.357729,0.4777553769
69,34800,785,0.002547770701,70.226825,0.4744161892
92,37200,1045,0.000956937799,16.420575,0.47286011
81,37200,1000,0.001,23.069355,0.4708353779
17,40400,1240,0,5.882005,0.4698262514
65,40000,1205,0.001659751037,46.665723,0.469755279
64,44800,1345,0,48.984242,0.4603920719
95,45600,1640,0.001829268293,41.365516,0.4596806691
58,40000,1045,0,16.285337,0.458590504
99,50400,1905,0,29.18227,0.4581852658
90,42000,1235,0,9.370129,0.4568848302
20,40800,1075,0,4.435658,0.4494578085
80,38800,795,0.001257861635,53.756457,0.447171869
66,40800,875,0.001142857143,70.258819,0.4459571488
114,43600,1130,0,37.409266,0.4446818049
12,42800,1155,0,8.713546,0.4417430813
104,46000,1185,0,65.937154,0.4414764156
84,40800,855,0,34.965513,0.4409526476
103,56800,2310,0,25.850021,0.4408353521
67,42400,710,0,92.187796,0.4373975194
68,46800,1280,0,48.467992,0.4363235749
79,39200,395,0,79.175216,0.4286567544
105,57600,2230,0,31.098598,0.4282409222
19,41200,880,0,7.674254,0.4281546524
60,41200,650,0,54.345454,0.4256271896
71,41600,535,0,83.265087,0.42328388
140,42800,890,0,4.264553,0.4137155372
98,56800,1910,0.0005235602094,29.205804,0.3972894328
73,38800,920,0.00652173913,36.034049,0.3956941678
10,50400,1365,0,5.681982,0.3948459357
100,48000,1275,0.003137254902,54.298783,0.3944170339
89,52000,1320,0,39.512469,0.3910524651
101,52000,1220,0,31.709408,0.3778342285
77,50400,1150,0.0008695652174,8.183368,0.3654673346
96,51600,915,0,32.465184,0.3515993599
97,52800,785,0,62.763597,0.3413962403
76,40400,540,0.009259259259,79.781466,0.3339734394
41,60000,1235,0,11.730039,0.3009260845
15,61600,1175,0,31.438119,0.2895627743
75,38800,640,0.01875,108.468066,0.2689191645
